t_start,t_end,delta,smid,warpid
133612964781664,133612964781724,60,0,14
133612964781664,133612964781724,60,0,14
133612964781664,133612964781724,60,0,14
133612964781665,133612964781725,60,0,15
133612964781665,133612964781725,60,0,15
133612964781665,133612964781725,60,0,15
133612964781665,133612964781725,60,0,15
133612964781665,133612964781725,60,0,15
133612964781665,133612964781725,60,0,15
133612964781665,133612964781725,60,0,15
133612964781665,133612964781725,60,0,15
133612964781665,133612964781725,60,0,15
133612964781665,133612964781725,60,0,15
133612964781665,133612964781725,60,0,15
133612964781665,133612964781725,60,0,15
133612964781665,133612964781725,60,0,15
133612964781665,133612964781725,60,0,15
133612964781665,133612964781725,60,0,15
133612964781665,133612964781725,60,0,15
133612964781665,133612964781725,60,0,15
133612964781665,133612964781725,60,0,15
133612964781665,133612964781725,60,0,15
133612964781665,133612964781725,60,0,15
133612964781665,133612964781725,60,0,15
133612964781665,133612964781725,60,0,15
133612964781665,133612964781725,60,0,15
133612964781665,133612964781725,60,0,15
133612964781665,133612964781725,60,0,15
133612964781665,133612964781725,60,0,15
133612964781665,133612964781725,60,0,15
133612964781665,133612964781725,60,0,15
133612964781665,133612964781725,60,0,15
133612964781665,133612964781725,60,0,15
133612964781665,133612964781725,60,0,15
133612964781665,133612964781725,60,0,15
133612964781651,133612964781708,57,0,16
133612964781651,133612964781708,57,0,16
133612964781651,133612964781708,57,0,16
133612964781651,133612964781708,57,0,16
133612964781651,133612964781708,57,0,16
133612964781651,133612964781708,57,0,16
133612964781651,133612964781708,57,0,16
133612964781651,133612964781708,57,0,16
133612964781651,133612964781708,57,0,16
133612964781651,133612964781708,57,0,16
133612964781651,133612964781708,57,0,16
133612964781651,133612964781708,57,0,16
133612964781651,133612964781708,57,0,16
133612964781651,133612964781708,57,0,16
133612964781651,133612964781708,57,0,16
133612964781651,133612964781708,57,0,16
133612964781651,133612964781708,57,0,16
133612964781651,133612964781708,57,0,16
133612964781651,133612964781708,57,0,16
133612964781651,133612964781708,57,0,16
133612964781651,133612964781708,57,0,16
133612964781651,133612964781708,57,0,16
133612964781651,133612964781708,57,0,16
133612964781651,133612964781708,57,0,16
133612964781651,133612964781708,57,0,16
133612964781651,133612964781708,57,0,16
133612964781651,133612964781708,57,0,16
133612964781651,133612964781708,57,0,16
133612964781651,133612964781708,57,0,16
133612964781651,133612964781708,57,0,16
133612964781651,133612964781708,57,0,16
133612964781651,133612964781708,57,0,16
133612964781653,133612964781710,57,0,17
133612964781653,133612964781710,57,0,17
133612964781653,133612964781710,57,0,17
133612964781653,133612964781710,57,0,17
133612964781653,133612964781710,57,0,17
133612964781653,133612964781710,57,0,17
133612964781653,133612964781710,57,0,17
133612964781653,133612964781710,57,0,17
133612964781653,133612964781710,57,0,17
133612964781653,133612964781710,57,0,17
133612964781653,133612964781710,57,0,17
133612964781653,133612964781710,57,0,17
133612964781653,133612964781710,57,0,17
133612964781653,133612964781710,57,0,17
133612964781653,133612964781710,57,0,17
133612964781653,133612964781710,57,0,17
133612964781653,133612964781710,57,0,17
133612964781653,133612964781710,57,0,17
133612964781653,133612964781710,57,0,17
133612964781653,133612964781710,57,0,17
133612964781653,133612964781710,57,0,17
133612964781653,133612964781710,57,0,17
133612964781653,133612964781710,57,0,17
133612964781653,133612964781710,57,0,17
133612964781653,133612964781710,57,0,17
133612964781653,133612964781710,57,0,17
133612964781653,133612964781710,57,0,17
133612964781653,133612964781710,57,0,17
133612964781653,133612964781710,57,0,17
133612964781653,133612964781710,57,0,17
133612964781653,133612964781710,57,0,17
133612964781653,133612964781710,57,0,17
133612964781655,133612964781712,57,0,18
133612964781655,133612964781712,57,0,18
133612964781655,133612964781712,57,0,18
133612964781655,133612964781712,57,0,18
133612964781655,133612964781712,57,0,18
133612964781655,133612964781712,57,0,18
133612964781655,133612964781712,57,0,18
133612964781655,133612964781712,57,0,18
133612964781655,133612964781712,57,0,18
133612964781655,133612964781712,57,0,18
133612964781655,133612964781712,57,0,18
133612964781655,133612964781712,57,0,18
133612964781655,133612964781712,57,0,18
133612964781655,133612964781712,57,0,18
133612964781655,133612964781712,57,0,18
133612964781655,133612964781712,57,0,18
133612964781655,133612964781712,57,0,18
133612964781655,133612964781712,57,0,18
133612964781655,133612964781712,57,0,18
133612964781655,133612964781712,57,0,18
133612964781655,133612964781712,57,0,18
133612964781655,133612964781712,57,0,18
133612964781655,133612964781712,57,0,18
133612964781655,133612964781712,57,0,18
133612964781655,133612964781712,57,0,18
133612964781655,133612964781712,57,0,18
133612964781655,133612964781712,57,0,18
133612964781655,133612964781712,57,0,18
133612964781655,133612964781712,57,0,18
133612964781655,133612964781712,57,0,18
133612964781655,133612964781712,57,0,18
133612964781655,133612964781712,57,0,18
133612964781618,133612964781709,91,0,19
133612964781618,133612964781709,91,0,19
133612964781618,133612964781709,91,0,19
133612964781618,133612964781709,91,0,19
133612964781618,133612964781709,91,0,19
133612964781618,133612964781709,91,0,19
133612964781618,133612964781709,91,0,19
133612964781618,133612964781709,91,0,19
133612964781618,133612964781709,91,0,19
133612964781618,133612964781709,91,0,19
133612964781618,133612964781709,91,0,19
133612964781618,133612964781709,91,0,19
133612964781618,133612964781709,91,0,19
133612964781618,133612964781709,91,0,19
133612964781618,133612964781709,91,0,19
133612964781618,133612964781709,91,0,19
133612964781618,133612964781709,91,0,19
133612964781618,133612964781709,91,0,19
133612964781618,133612964781709,91,0,19
133612964781618,133612964781709,91,0,19
133612964781618,133612964781709,91,0,19
133612964781618,133612964781709,91,0,19
133612964781618,133612964781709,91,0,19
133612964781618,133612964781709,91,0,19
133612964781618,133612964781709,91,0,19
133612964781618,133612964781709,91,0,19
133612964781618,133612964781709,91,0,19
133612964781618,133612964781709,91,0,19
133612964781618,133612964781709,91,0,19
133612964781618,133612964781709,91,0,19
133612964781618,133612964781709,91,0,19
133612964781618,133612964781709,91,0,19
133612964781596,133612964781698,102,0,20
133612964781596,133612964781698,102,0,20
133612964781596,133612964781698,102,0,20
133612964781596,133612964781698,102,0,20
133612964781596,133612964781698,102,0,20
133612964781596,133612964781698,102,0,20
133612964781596,133612964781698,102,0,20
133612964781596,133612964781698,102,0,20
133612964781596,133612964781698,102,0,20
133612964781596,133612964781698,102,0,20
133612964781596,133612964781698,102,0,20
133612964781596,133612964781698,102,0,20
133612964781596,133612964781698,102,0,20
133612964781596,133612964781698,102,0,20
133612964781596,133612964781698,102,0,20
133612964781596,133612964781698,102,0,20
133612964781596,133612964781698,102,0,20
133612964781596,133612964781698,102,0,20
133612964781596,133612964781698,102,0,20
133612964781596,133612964781698,102,0,20
133612964781596,133612964781698,102,0,20
133612964781596,133612964781698,102,0,20
133612964781596,133612964781698,102,0,20
133612964781596,133612964781698,102,0,20
133612964781596,133612964781698,102,0,20
133612964781596,133612964781698,102,0,20
133612964781596,133612964781698,102,0,20
133612964781596,133612964781698,102,0,20
133612964781596,133612964781698,102,0,20
133612964781596,133612964781698,102,0,20
133612964781596,133612964781698,102,0,20
133612964781596,133612964781698,102,0,20
133612964781598,133612964781700,102,0,21
133612964781598,133612964781700,102,0,21
133612964781598,133612964781700,102,0,21
133612964781598,133612964781700,102,0,21
133612964781598,133612964781700,102,0,21
133612964781598,133612964781700,102,0,21
133612964781598,133612964781700,102,0,21
133612964781598,133612964781700,102,0,21
133612964781598,133612964781700,102,0,21
133612964781598,133612964781700,102,0,21
133612964781598,133612964781700,102,0,21
133612964781598,133612964781700,102,0,21
133612964781598,133612964781700,102,0,21
133612964781598,133612964781700,102,0,21
133612964781598,133612964781700,102,0,21
133612964781598,133612964781700,102,0,21
133612964781598,133612964781700,102,0,21
133612964781598,133612964781700,102,0,21
133612964781598,133612964781700,102,0,21
133612964781598,133612964781700,102,0,21
133612964781598,133612964781700,102,0,21
133612964781598,133612964781700,102,0,21
133612964781598,133612964781700,102,0,21
133612964781598,133612964781700,102,0,21
133612964781598,133612964781700,102,0,21
133612964781598,133612964781700,102,0,21
133612964781598,133612964781700,102,0,21
133612964781598,133612964781700,102,0,21
133612964781598,133612964781700,102,0,21
133612964781598,133612964781700,102,0,21
133612964781598,133612964781700,102,0,21
133612964781598,133612964781700,102,0,21
133612964781600,133612964781702,102,0,22
133612964781600,133612964781702,102,0,22
133612964781600,133612964781702,102,0,22
133612964781600,133612964781702,102,0,22
133612964781600,133612964781702,102,0,22
133612964781600,133612964781702,102,0,22
133612964781600,133612964781702,102,0,22
133612964781600,133612964781702,102,0,22
133612964781600,133612964781702,102,0,22
133612964781600,133612964781702,102,0,22
133612964781600,133612964781702,102,0,22
133612964781600,133612964781702,102,0,22
133612964781600,133612964781702,102,0,22
133612964781600,133612964781702,102,0,22
133612964781600,133612964781702,102,0,22
133612964781600,133612964781702,102,0,22
133612964781600,133612964781702,102,0,22
133612964781600,133612964781702,102,0,22
133612964781600,133612964781702,102,0,22
133612964781600,133612964781702,102,0,22
133612964781600,133612964781702,102,0,22
133612964781600,133612964781702,102,0,22
133612964781600,133612964781702,102,0,22
133612964781600,133612964781702,102,0,22
133612964781600,133612964781702,102,0,22
133612964781600,133612964781702,102,0,22
133612964781600,133612964781702,102,0,22
133612964781600,133612964781702,102,0,22
133612964781600,133612964781702,102,0,22
133612964781600,133612964781702,102,0,22
133612964781600,133612964781702,102,0,22
133612964781600,133612964781702,102,0,22
133612964781610,133612964781703,93,0,23
133612964781610,133612964781703,93,0,23
133612964781610,133612964781703,93,0,23
133612964781610,133612964781703,93,0,23
133612964781610,133612964781703,93,0,23
133612964781610,133612964781703,93,0,23
133612964781610,133612964781703,93,0,23
133612964781610,133612964781703,93,0,23
133612964781610,133612964781703,93,0,23
133612964781610,133612964781703,93,0,23
133612964781610,133612964781703,93,0,23
133612964781610,133612964781703,93,0,23
133612964781610,133612964781703,93,0,23
133612964781610,133612964781703,93,0,23
133612964781610,133612964781703,93,0,23
133612964781610,133612964781703,93,0,23
133612964781610,133612964781703,93,0,23
133612964781610,133612964781703,93,0,23
133612964781610,133612964781703,93,0,23
133612964781610,133612964781703,93,0,23
133612964781610,133612964781703,93,0,23
133612964781610,133612964781703,93,0,23
133612964781610,133612964781703,93,0,23
133612964781610,133612964781703,93,0,23
133612964781610,133612964781703,93,0,23
133612964781610,133612964781703,93,0,23
133612964781610,133612964781703,93,0,23
133612964781610,133612964781703,93,0,23
133612964781610,133612964781703,93,0,23
133612964781610,133612964781703,93,0,23
133612964781610,133612964781703,93,0,23
133612964781610,133612964781703,93,0,23
133612964781588,133612964781690,102,0,24
